MOC_ZONAS_ID;PRECIO_PROMEDIO_ALQUILER_LOCAL;PRECIO_MAX_ALQUILER_LOCAL;PRECIO_MIN_ALQUILER_LOCAL;SUPERFICIE_M2_PROMEDIO_ALQUILER;SUPERFICIE_M2_MAX_ALQUILER;SUPERFICIE_M2_MIN_ALQUILER;NIVEL_LOCALES_RUBRO_PREDOMINANTE;RUBRO_PREDOMINANTE;FACTURACION_PROM_RUBRO_PREDOMINANTE;NIVEL_LOCALES_RUBRO_MENOS_PREDOMINANTE;RUBRO_MENOS_PREDOMINANTE;FACTURACION_PROM_RUBRO_MENOS_PREDOMINANTE
99;6193.05;13000.00;3000.00;125.39;166.70;108.30;1;INDUMENTARIA;4;1;INSTITUCIONES DEPORTIVAS;1
100;10826.06;35000.00;2500.00;134.65;333.87;91.10;2;INDUMENTARIA;2;1;TRATAMIENTOS ESTETICOS;1
101;27185.71;100000.00;5000.00;168.49;293.30;99.00;1;INDUMENTARIA;4;1;HELADERIAS;2
102;20304.81;68000.00;3000.00;167.24;363.60;85.70;2;SALUD Y COSMETICA;5;2;HELADERIAS;2
103;32860.80;320110.00;4000.00;203.63;433.30;85.00;3;INDUMENTARIA;5;1;HELADERIAS;1
104;14183.19;45000.00;2300.00;208.59;405.06;78.95;2;INDUMENTARIA;5;1;HELADERIAS;4
105;37109.29;134541.33;4870.75;457.44;5052.44;89.32;2;INDUMENTARIA;5;1;CARNES Y VERDURAS;1
106;41510.45;614980.00;2858.11;226.48;1187.29;77.85;5;INDUMENTARIA;5;5;HELADERIAS;1
107;9034.41;18266.42;4500.00;153.64;227.30;80.00;2;INDUMENTARIA;5;1;HELADERIAS;1
108;13898.89;35160.42;3000.00;152.67;285.70;92.60;2;INDUMENTARIA;5;1;INSTITUCIONES DEPORTIVAS;5
